Product Name,Category,Code,Malayalam Name,Variants,Selling Price,Original Price (MRP),Image URL
"Skei Caramel Sundae Ice Cream (Sundae)","Desserts & Ice Creams","ANG-DES-0239","സ്കീ കാരമൽ സൺഡേ ഐസ് ക്രീം സൺഡേ","150 ml","₹65","₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/sundae-05.jpg"
"Skei Chocolate Twist Ice Cream (Sundae)","Desserts & Ice Creams","ANG-DES-0240","സ്കീ ചോക്ലേറ്റ് ട്വിസ്റ്റ് ഐസ് ക്രീം സൺഡേ","150 ml","₹65","₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/sundae-04.jpg"
"Skei Sundae Strawberry Ice Cream (Sundae)","Desserts & Ice Creams","ANG-DES-0241","സ്കീ സൺഡേ സ്ട്രോബെറി ഐസ് ക്രീം സൺഡേ","150 ml","₹65","₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/sundae-03.jpg"
"Skei Sundae Pista Ice Cream (Sundae)","Desserts & Ice Creams","ANG-DES-0242","സ്കീ സൺഡേ പിസ്ത ഐസ് ക്രീം സൺഡേ","150 ml","₹65","₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/sundae-02.jpg"
"Skei Sundae Mango Ice Cream (Sundae)","Desserts & Ice Creams","ANG-DES-0243","സ്കീ സൺഡേ മാംഗോ ഐസ് ക്രീം സൺഡേ","150 ml","₹65","₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/sundae-01.jpg"
"Skei Gudbud Ice Cream (Sundae)","Desserts & Ice Creams","ANG-DES-0244","സ്കീ ഗഡ്ബഡ് ഐസ് ക്രീം സൺഡേ","150 ml","₹65","₹65","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/sundae-06.jpg"
"Vesta Arabian Delite Ice Cream","Desserts & Ice Creams","ANG-DES-0245","വെസ്റ്റ അറേബ്യൻ ഡിലൈറ്റ് ഐസ് ക്രീം","150 ml","₹70","₹70","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/p2-arabian-delite-1.png"
"Vesta Arabian Delite 100ml Ice Cream","Desserts & Ice Creams","ANG-DES-0246","വെസ്റ്റ അറേബ്യൻ ഡിലൈറ്റ് 100ml ഐസ് ക്രീം","100 ml","₹35","₹35","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/arabian-delite-100ml.png"
"Vesta Black Currant 1L Ice Cream","Desserts & Ice Creams","ANG-DES-0247","വെസ്റ്റ ബ്ലാക്ക് കറന്റ് 1L ഐസ് ക്രീം","1 L","₹260","₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/black-currant-1000ml.png"
"Vesta Black Currant 500ml Ice Cream","Desserts & Ice Creams","ANG-DES-0248","വെസ്റ്റ ബ്ലാക്ക് കറന്റ് 500ml ഐസ് ക്രീം","500 ml","₹150","₹150","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/black-currant-vesta.png"
"Vesta Black Currant Conevita Ice Cream","Desserts & Ice Creams","ANG-DES-0249","വെസ്റ്റ ബ്ലാക്ക് കറന്റ് കോൺവിറ്റ ഐസ് ക്രീം","120 ml","₹50","₹50","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/black-currant-convevita.png"
"Vesta Black Currant Sundae Ice Cream","Desserts & Ice Creams","ANG-DES-0250","വെസ്റ്റ ബ്ലാക്ക് കറന്റ് സൺഡേ ഐസ് ക്രീം","150 ml","₹70","₹70","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/sundae-black-currant.png"
"Vesta Butterscotch 1l Ice Cream","Desserts & Ice Creams","ANG-DES-0251","വെസ്റ്റ ബട്ടർസ്കോച്ച് 1l ഐസ് ക്രീം","1 L","₹260","₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/butterscotch-1000ml.png"
"Vesta Butterscotch 500ml Ice Cream","Desserts & Ice Creams","ANG-DES-0252","വെസ്റ്റ ബട്ടർസ്കോച്ച് 500ml ഐസ് ക്രീം","500 ml","₹150","₹150","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/butterscotch-vesta.png"
"Vesta Butterscotch Conevita Ice Cream","Desserts & Ice Creams","ANG-DES-0253","വെസ്റ്റ ബട്ടർസ്കോച്ച് കോൺവിറ്റ ഐസ് ക്രീം","120 ml","₹50","₹50","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/butterscotch-convevita-1.png"
"Vesta Butterscotch Conevita Vegan Ice Cream","Desserts & Ice Creams","ANG-DES-0254","വെസ്റ്റ ബട്ടർസ്കോച്ച് കോൺവിറ്റ വീഗൻ ഐസ് ക്രീം","120 ml","₹50","₹50","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/butterscotch-vegan-conevita.png"
"Vesta Butterscotch Vegan Ice Cream","Desserts & Ice Creams","ANG-DES-0255","വെസ്റ്റ ബട്ടർസ്കോച്ച് വീഗൻ ഐസ് ക്രീം","500 ml; 1 L","₹150; ₹260","₹150; ₹260","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/vesta/butterscotch-vegan.png"
